"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bhutan","Total renewable water resources (10^9 m3/year)",1962,95.0,"I",,1967,95.0,"I",,1972,95.0,"I",,1977,95.0,"I",,1982,95.0,"I",,1987,95.0,"I",,1992,95.0,"I",,1997,81.0,"I",,2002,81.0,"I",,2007,78.0,"I",,2012,78.0,"I",,2017,78.0,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bolivia (Plurinational State of)","Total renewable water resources (10^9 m3/year)",1962,574.0,"",,1967,574.0,"",,1972,574.0,"",,1977,574.0,"",,1982,574.0,"",,1987,574.0,"",,1992,574.0,"",,1997,574.0,"",,2002,574.0,"",,2007,574.0,"",,2012,574.0,"",,2017,574.0,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bosnia and Herzegovina","Total renewable water resources (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,37.5,"K",,1997,37.5,"K",,2002,37.5,"K",,2007,37.5,"K",,2012,37.5,"K",,2017,37.5,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Botswana","Total renewable water resources (10^9 m3/year)",1962,12.24,"I",,1967,12.24,"I",,1972,12.24,"I",,1977,12.24,"I",,1982,12.24,"I",,1987,12.24,"I",,1992,12.24,"I",,1997,12.24,"I",,2002,12.24,"I",,2007,12.24,"I",,2012,12.24,"I",,2017,12.24,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Brazil","Total renewable water resources (10^9 m3/year)",1962,8647.0,"",,1967,8647.0,"",,1972,8647.0,"",,1977,8647.0,"",,1982,8647.0,"",,1987,8647.0,"",,1992,8647.0,"",,1997,8647.0,"",,2002,8647.0,"",,2007,8647.0,"",,2012,8647.0,"",,2017,8647.0,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Brunei Darussalam","Total renewable water resources (10^9 m3/year)",1962,8.5,"",,1967,8.5,"",,1972,8.5,"",,1977,8.5,"",,1982,8.5,"",,1987,8.5,"",,1992,8.5,"",,1997,8.5,"",,2002,8.5,"",,2007,8.5,"",,2012,8.5,"",,2017,8.5,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
