
"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Barbados","Total renewable surface water (10^9 m3/yr)",1962,0.008,"E",,1967,0.008,"E",,1972,0.008,"E",,1977,0.008,"E",,1982,0.008,"E",,1987,0.008,"E",,1992,0.008,"E",,1997,0.008,"E",,2002,0.008,"E",,2007,0.008,"E",,2012,0.008,"E",,2017,0.008,"E",,,,"",
"Barbados","Total renewable groundwater (10^9 m3/yr)",1962,0.074,"E",,1967,0.074,"E",,1972,0.074,"E",,1977,0.074,"E",,1982,0.074,"E",,1987,0.074,"E",,1992,0.074,"E",,1997,0.074,"E",,2002,0.074,"E",,2007,0.074,"E",,2012,0.074,"E",,2017,0.074,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Belarus","Total renewable surface water (10^9 m3/yr)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,57.9,"E",,1997,57.9,"E",,2002,57.9,"E",,2007,57.9,"E",,2012,57.9,"E",,2017,57.9,"E",,,,"",
"Belarus","Total renewable groundwater (10^9 m3/yr)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,15.9,"E",,1997,15.9,"E",,2002,15.9,"E",,2007,15.9,"E",,2012,15.9,"E",,2017,15.9,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Belgium","Total renewable surface water (10^9 m3/yr)",1962,18.3,"E",,1967,18.3,"E",,1972,18.3,"E",,1977,18.3,"E",,1982,18.3,"E",,1987,18.3,"E",,1992,18.3,"E",,1997,18.3,"E",,2002,18.3,"E",,2007,18.3,"E",,2012,18.3,"E",,2017,18.3,"E",,,,"",
"Belgium","Total renewable groundwater (10^9 m3/yr)",1962,0.9,"E",,1967,0.9,"E",,1972,0.9,"E",,1977,0.9,"E",,1982,0.9,"E",,1987,0.9,"E",,1992,0.9,"E",,1997,0.9,"E",,2002,0.9,"E",,2007,0.9,"E",,2012,0.9,"E",,2017,0.9,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Belize","Total renewable surface water (10^9 m3/yr)",1962,21.734,"E",,1967,21.734,"E",,1972,21.734,"E",,1977,21.734,"E",,1982,21.734,"E",,1987,21.734,"E",,1992,21.734,"E",,1997,21.734,"E",,2002,21.734,"E",,2007,21.734,"E",,2012,21.734,"E",,2017,21.734,"E",,,,"",
"Belize","Total renewable groundwater (10^9 m3/yr)",1962,7.51,"E",,1967,7.51,"E",,1972,7.51,"E",,1977,7.51,"E",,1982,7.51,"E",,1987,7.51,"E",,1992,7.51,"E",,1997,7.51,"E",,2002,7.51,"E",,2007,7.51,"E",,2012,7.51,"E",,2017,7.51,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Benin","Total renewable surface water (10^9 m3/yr)",1962,26.09,"E",,1967,26.09,"E",,1972,26.09,"E",,1977,26.09,"E",,1982,26.09,"E",,1987,26.09,"E",,1992,26.09,"E",,1997,26.09,"E",,2002,26.09,"E",,2007,26.09,"E",,2012,26.09,"E",,2017,26.09,"E",,,,"",
"Benin","Total renewable groundwater (10^9 m3/yr)",1962,1.8,"E",,1967,1.8,"E",,1972,1.8,"E",,1977,1.8,"E",,1982,1.8,"E",,1987,1.8,"E",,1992,1.8,"E",,1997,1.8,"E",,2002,1.8,"E",,2007,1.8,"E",,2012,1.8,"E",,2017,1.8,"E",,,,"",

